 Al-Fatihah	7
 Al-Baqara	286
 Al-i'Imran	200
 An-Nisaa	176
 Al-Maidah	120
 Al-An'am	165
 Al-A'raf	206
 Al-Anfal	75
 At-Tauba	129
 Yunus	109
 Hud	123
 Yusuf	111
 Ar-Ra'd	43
 Ibrahim	52
 Al-Hijr	99
 An-Nahl	128
 Al-Israa	111
 Al-Kahf	110
 Maryam	98
 Ta-ha	135
 Al-Anbiyaa	112
 Al-Hajj	78
 Al-Muminun	118
 An-Nur	64
 Al-Furqan	77
 Ash-Shu'araa	227
 An-Naml	93
 Al-Qasas	88
 Al-Ankabut	69
 Ar-Rum	60
 Luqman	34
 As-Sajda	30
 Al-Ahzab	73
 Saba	54
 Fatir	45
 Ya-Sin	83
 As-Saffat	182
 Sad	88
 Az-Zumar	75
 Al-Mu'min	85
 Ha-Mim	54
 Ash-Shura	53
 Az-Zukhruf	89
 Ad-Dukhan	59
 Al-Jathiya	37
 Al-Ahqaf	35
 Muhammad	38
 Al-Fat-h	29
 Al-Hujurat	18
 Qaf	45
 Az-Zariyat	60
 At-Tur	49
 An-Najm	62
 Al-Qamar	55
 Ar-Rahman	78
 Al-Waqi'a	96
 Al-Hadid	29
 Al-Mujadila	22
 Al-Hashr	24
 Al-Mumtahana	13
 As-Saff	14
 Al-Jumu'a	11
 Al-Munafiqun	11
 At-Tagabun	18
 At-Talaq	12
 At-Tahrim	12
 Al-Mulk	30
 Al-Qalam	52
 Al-Haqqa	52
 Al-Ma'arij	44
 Nuh	28
 Al-Jinn	28
 Al-Muzzammil	20
 Al-Muddathth	56
 Al-Qiyamat	40
 Ad-Dahr	31
 Al-Mursalat	50
 An-Nabaa	40
 An-Nazi'at	46
 Abasa	42
 At-Takwir	29
 Al-Infitar	19
 Al-Mutaffife	36
 Al-Inshiqaq	25
 Al-Buruj	22
 At-Tariq	17
 Al-A'la	19
 Al-Gashiya	26
 Al-Fajr	30
 Al-Balad	20
 Ash-Shams	15
 Al-Lail	21
 Adh-Dhuha	11
 Al-Sharh	8
 At-Tin	8
 Al-Alaq	19
 Al-Qadr	5
 Al-Baiyina	8
 Al-Zalzalah	8
 Al-Adiyat	11
 Al-Qari'a	11
 At-Takathur	8
 Al-Asr	3
 Al-Humaza	9
 Al-Fil	5
 Quraish	4
 Al-Ma'un	7
 Al-Kauthar	3
 Al-Kafirun	6
 An-Nasr	3
 Al-Lahab	5
 Al-Ikhlas	4
 Al-Falaq	5
 Al-Nas	6
